#1
double tmy(8761,3)
0 300.05 0.0
3600 297.45 0.0
7200 296.55 0.0
10800 295.85 0.0
14400 295.25 0.0
18000 295.95 41.0
21600 297.85 163.0
25200 300.55 319.0
28800 303.65 480.0
32400 306.35 627.0
36000 308.15 751.0
39600 309.35 836.0
43200 310.25 867.0
46800 310.95 844.0
50400 311.35 770.0
54000 311.25 637.0
57600 310.95 479.0
61200 310.45 347.0
64800 309.85 254.0
68400 309.05 125.0
72000 307.35 24.0
75600 306.35 0.0
79200 305.45 0.0
82800 304.85 0.0
86400 302.95 0.0
90000 299.25 0.0
93600 298.35 0.0
97200 297.25 0.0
100800 295.55 0.0
104400 295.05 40.0
108000 295.95 161.0
111600 297.85 316.0
115200 300.35 477.0
118800 302.85 626.0
122400 304.65 747.0
126000 306.15 829.0
129600 307.35 870.0
133200 304.15 859.0
136800 300.85 456.0
140400 300.25 238.0
144000 300.65 580.0
147600 299.15 426.0
151200 297.15 271.0
154800 295.35 120.0
158400 294.15 19.0
162000 293.65 0.0
165600 292.85 0.0
169200 292.25 0.0
172800 291.75 0.0
176400 291.45 0.0
180000 290.75 0.0
183600 290.25 0.0
187200 289.65 0.0
190800 289.65 39.0
194400 290.35 163.0
198000 291.55 322.0
201600 293.05 483.0
205200 294.65 644.0
208800 296.05 777.0
212400 297.15 866.0
216000 297.95 909.0
219600 298.65 900.0
223200 299.05 848.0
226800 299.05 752.0
230400 298.85 620.0
234000 298.35 463.0
237600 297.65 296.0
241200 296.55 139.0
244800 295.45 25.0
248400 294.55 0.0
252000 293.75 0.0
255600 292.65 0.0
259200 291.35 0.0
262800 289.65 0.0
266400 288.95 0.0
270000 288.25 0.0
273600 287.75 0.0
277200 287.95 40.0
280800 288.85 166.0
284400 290.35 328.0
288000 292.55 496.0
291600 294.65 651.0
295200 296.35 777.0
298800 297.75 865.0
302400 298.75 908.0
306000 299.85 902.0
309600 300.45 849.0
313200 300.65 753.0
316800 300.75 620.0
320400 300.45 462.0
324000 299.75 293.0
327600 298.85 134.0
331200 297.45 25.0
334800 296.55 0.0
338400 295.45 0.0
342000 294.45 0.0
345600 292.65 0.0
349200 290.35 0.0
352800 289.45 0.0
356400 288.95 0.0
360000 288.45 0.0
363600 288.75 38.0
367200 289.85 137.0
370800 291.65 289.0
374400 294.05 461.0
378000 296.15 556.0
381600 298.05 777.0
385200 299.25 781.0
388800 300.45 876.0
392400 300.15 689.0
396000 300.85 801.0
399600 300.65 699.0
403200 299.75 487.0
406800 298.85 303.0
410400 297.35 69.0
414000 296.85 76.0
417600 295.35 22.0
421200 294.75 0.0
424800 294.25 0.0
428400 293.85 0.0
432000 290.75 0.0
435600 289.75 0.0
439200 289.05 0.0
442800 288.75 0.0
446400 288.25 0.0
450000 288.25 6.0
453600 288.15 22.0
457200 288.25 54.0
460800 288.15 75.0
464400 288.55 77.0
468000 290.15 278.0
471600 291.15 321.0
475200 292.05 409.0
478800 290.95 261.0
482400 291.25 215.0
486000 291.15 135.0
489600 292.05 240.0
493200 291.35 89.0
496800 291.75 94.0
500400 291.25 92.0
504000 290.65 17.0
507600 290.15 0.0
511200 289.65 0.0
514800 289.35 0.0
518400 289.35 0.0
522000 289.15 0.0
525600 288.75 0.0
529200 288.45 0.0
532800 288.35 0.0
536400 288.45 18.0
540000 288.65 58.0
543600 288.65 67.0
547200 288.85 127.0
550800 287.85 110.0
554400 287.75 54.0
558000 288.65 138.0
561600 290.25 371.0
565200 289.15 174.0
568800 291.05 356.0
572400 289.95 464.0
576000 290.95 274.0
579600 291.35 406.0
583200 290.85 159.0
586800 290.15 115.0
590400 289.25 15.0
594000 288.35 0.0
597600 287.65 0.0
601200 286.95 0.0
604800 286.55 0.0
608400 286.25 0.0
612000 286.15 0.0
615600 286.65 0.0
619200 286.55 0.0
622800 286.55 31.0
626400 286.35 109.0
630000 287.45 201.0
633600 288.65 379.0
637200 289.65 590.0
640800 290.55 634.0
644400 291.85 763.0
648000 292.55 735.0
651600 293.25 693.0
655200 293.45 597.0
658800 293.55 555.0
662400 293.35 454.0
666000 293.15 361.0
669600 292.65 258.0
673200 291.55 117.0
676800 290.05 22.0
680400 289.05 0.0
684000 287.95 0.0
687600 287.35 0.0
691200 286.65 0.0
694800 285.95 0.0
698400 285.45 0.0
702000 285.05 0.0
705600 284.45 0.0
709200 284.85 34.0
712800 286.05 157.0
716400 288.05 317.0
720000 290.35 482.0
723600 292.15 635.0
727200 293.35 761.0
730800 294.25 850.0
734400 295.15 891.0
738000 296.75 816.0
741600 296.85 773.0
745200 296.95 658.0
748800 296.75 540.0
752400 296.55 411.0
756000 296.25 249.0
759600 294.85 124.0
763200 292.95 22.0
766800 292.45 0.0
770400 291.15 0.0
774000 290.15 0.0
777600 289.45 0.0
781200 288.75 0.0
784800 288.05 0.0
788400 287.45 0.0
792000 286.85 0.0
795600 287.35 32.0
799200 288.65 152.0
802800 290.55 310.0
806400 292.75 475.0
810000 294.75 628.0
813600 296.15 753.0
817200 297.15 840.0
